timestamp,dia,mes,año,hora,minuto,turno
46023.88889,1,1,2026,21,20,Tarde
46023.89583,1,1,2026,21,30,Tarde
46023.90278,1,1,2026,21,40,Tarde
46023.90972,1,1,2026,21,50,Tarde
46023.91667,1,1,2026,22,0,Noche
46023.92361,1,1,2026,22,10,Noche
46023.93056,1,1,2026,22,20,Noche
46023.9375,1,1,2026,22,30,Noche
46023.94444,1,1,2026,22,40,Noche
46023.95139,1,1,2026,22,50,Noche
46023.95833,1,1,2026,23,0,Noche
46023.96528,1,1,2026,23,10,Noche
46023.97222,1,1,2026,23,20,Noche
46023.97917,1,1,2026,23,30,Noche
46023.98611,1,1,2026,23,40,Noche
46023.99306,1,1,2026,23,50,Noche
46024,2,1,2026,0,0,Noche
46024.00694,2,1,2026,0,10,Noche
46024.01389,2,1,2026,0,20,Noche
46024.02083,2,1,2026,0,30,Noche
46024.02778,2,1,2026,0,40,Noche
46024.03472,2,1,2026,0,50,Noche
46024.04167,2,1,2026,1,0,Noche
46024.04861,2,1,2026,1,10,Noche
46024.05556,2,1,2026,1,20,Noche
46024.0625,2,1,2026,1,30,Noche
46024.06944,2,1,2026,1,40,Noche
46024.07639,2,1,2026,1,50,Noche
46024.08333,2,1,2026,2,0,Noche
46024.09028,2,1,2026,2,10,Noche
46024.09722,2,1,2026,2,20,Noche
46024.10417,2,1,2026,2,30,Noche
46024.11111,2,1,2026,2,40,Noche
46024.11806,2,1,2026,2,50,Noche
46024.125,2,1,2026,3,0,Noche
46024.13194,2,1,2026,3,10,Noche
46024.13889,2,1,2026,3,20,Noche
46024.14583,2,1,2026,3,30,Noche
46024.15278,2,1,2026,3,40,Noche
46024.15972,2,1,2026,3,50,Noche
46024.16667,2,1,2026,4,0,Noche
46024.17361,2,1,2026,4,10,Noche
46024.18056,2,1,2026,4,20,Noche
46024.1875,2,1,2026,4,30,Noche
46024.19444,2,1,2026,4,40,Noche
46024.20139,2,1,2026,4,50,Noche
46024.20833,2,1,2026,5,0,Noche
46024.21528,2,1,2026,5,10,Noche
46024.22222,2,1,2026,5,20,Noche
46024.22917,2,1,2026,5,30,Noche
46024.23611,2,1,2026,5,40,Noche
46024.24306,2,1,2026,5,50,Noche
46024.25,2,1,2026,6,0,Mañana
46024.25694,2,1,2026,6,10,Mañana
46024.26389,2,1,2026,6,20,Mañana
46024.27083,2,1,2026,6,30,Mañana
46024.27778,2,1,2026,6,40,Mañana
46024.28472,2,1,2026,6,50,Mañana
46024.29167,2,1,2026,7,0,Mañana
46024.29861,2,1,2026,7,10,Mañana
46024.30556,2,1,2026,7,20,Mañana
46024.3125,2,1,2026,7,30,Mañana
46024.31944,2,1,2026,7,40,Mañana
46024.32639,2,1,2026,7,50,Mañana
46024.33333,2,1,2026,8,0,Mañana
46024.34028,2,1,2026,8,10,Mañana
46024.34722,2,1,2026,8,20,Mañana
46024.35417,2,1,2026,8,30,Mañana
46024.36111,2,1,2026,8,40,Mañana
46024.36806,2,1,2026,8,50,Mañana
46024.375,2,1,2026,9,0,Mañana
46024.38194,2,1,2026,9,10,Mañana
46024.38889,2,1,2026,9,20,Mañana
46024.39583,2,1,2026,9,30,Mañana
46024.40278,2,1,2026,9,40,Mañana
46024.40972,2,1,2026,9,50,Mañana
46024.41667,2,1,2026,10,0,Mañana
46024.42361,2,1,2026,10,10,Mañana
46024.43056,2,1,2026,10,20,Mañana
46024.4375,2,1,2026,10,30,Mañana
46024.44444,2,1,2026,10,40,Mañana
46024.45139,2,1,2026,10,50,Mañana
46024.45833,2,1,2026,11,0,Mañana
46024.46528,2,1,2026,11,10,Mañana
46024.47222,2,1,2026,11,20,Mañana
46024.47917,2,1,2026,11,30,Mañana
46024.48611,2,1,2026,11,40,Mañana
46024.49306,2,1,2026,11,50,Mañana
46024.5,2,1,2026,12,0,Mañana
46024.50694,2,1,2026,12,10,Mañana
46024.51389,2,1,2026,12,20,Mañana
46024.52083,2,1,2026,12,30,Mañana
46024.52778,2,1,2026,12,40,Mañana
46024.53472,2,1,2026,12,50,Mañana
46024.54167,2,1,2026,13,0,Mañana
46024.54861,2,1,2026,13,10,Mañana
46024.55556,2,1,2026,13,20,Mañana
46024.5625,2,1,2026,13,30,Mañana
46024.56944,2,1,2026,13,40,Mañana
46024.57639,2,1,2026,13,50,Mañana
46024.58333,2,1,2026,14,0,Tarde
46024.59028,2,1,2026,14,10,Tarde
46024.59722,2,1,2026,14,20,Tarde
46024.60417,2,1,2026,14,30,Tarde
46024.61111,2,1,2026,14,40,Tarde
46024.61806,2,1,2026,14,50,Tarde
46024.625,2,1,2026,15,0,Tarde
46024.63194,2,1,2026,15,10,Tarde
46024.63889,2,1,2026,15,20,Tarde
46024.64583,2,1,2026,15,30,Tarde
46024.65278,2,1,2026,15,40,Tarde
46024.65972,2,1,2026,15,50,Tarde
46024.66667,2,1,2026,16,0,Tarde
46024.67361,2,1,2026,16,10,Tarde
46024.68056,2,1,2026,16,20,Tarde
46024.6875,2,1,2026,16,30,Tarde
46024.69444,2,1,2026,16,40,Tarde
46024.70139,2,1,2026,16,50,Tarde
46024.70833,2,1,2026,17,0,Tarde
46024.71528,2,1,2026,17,10,Tarde
46024.72222,2,1,2026,17,20,Tarde
46024.72917,2,1,2026,17,30,Tarde
46024.73611,2,1,2026,17,40,Tarde
46024.74306,2,1,2026,17,50,Tarde
46024.75,2,1,2026,18,0,Tarde
46024.75694,2,1,2026,18,10,Tarde
46024.76389,2,1,2026,18,20,Tarde
46024.77083,2,1,2026,18,30,Tarde
46024.77778,2,1,2026,18,40,Tarde
46024.78472,2,1,2026,18,50,Tarde
46024.79167,2,1,2026,19,0,Tarde
46024.79861,2,1,2026,19,10,Tarde
46024.80556,2,1,2026,19,20,Tarde
46024.8125,2,1,2026,19,30,Tarde
46024.81944,2,1,2026,19,40,Tarde
46024.82639,2,1,2026,19,50,Tarde
46024.83333,2,1,2026,20,0,Tarde
46024.84028,2,1,2026,20,10,Tarde
46024.84722,2,1,2026,20,20,Tarde
46024.85417,2,1,2026,20,30,Tarde
46024.86111,2,1,2026,20,40,Tarde
46024.86806,2,1,2026,20,50,Tarde
46024.875,2,1,2026,21,0,Tarde
46024.88194,2,1,2026,21,10,Tarde
46024.88889,2,1,2026,21,20,Tarde
46024.89583,2,1,2026,21,30,Tarde
46024.90278,2,1,2026,21,40,Tarde
46024.90972,2,1,2026,21,50,Tarde
46024.91667,2,1,2026,22,0,Noche
46024.92361,2,1,2026,22,10,Noche
46024.93056,2,1,2026,22,20,Noche
46024.9375,2,1,2026,22,30,Noche
46024.94444,2,1,2026,22,40,Noche
46024.95139,2,1,2026,22,50,Noche
46024.95833,2,1,2026,23,0,Noche
46024.96528,2,1,2026,23,10,Noche
46024.97222,2,1,2026,23,20,Noche
46024.97917,2,1,2026,23,30,Noche
46024.98611,2,1,2026,23,40,Noche
46024.99306,2,1,2026,23,50,Noche
46025,3,1,2026,0,0,Noche
46025.00694,3,1,2026,0,10,Noche
46025.01389,3,1,2026,0,20,Noche
46025.02083,3,1,2026,0,30,Noche
46025.02778,3,1,2026,0,40,Noche
46025.03472,3,1,2026,0,50,Noche
46025.04167,3,1,2026,1,0,Noche
46025.04861,3,1,2026,1,10,Noche
46025.05556,3,1,2026,1,20,Noche
46025.0625,3,1,2026,1,30,Noche
46025.06944,3,1,2026,1,40,Noche
46025.07639,3,1,2026,1,50,Noche
46025.08333,3,1,2026,2,0,Noche
46025.09028,3,1,2026,2,10,Noche
46025.09722,3,1,2026,2,20,Noche
46025.10417,3,1,2026,2,30,Noche
46025.11111,3,1,2026,2,40,Noche
46025.11806,3,1,2026,2,50,Noche
46025.125,3,1,2026,3,0,Noche
46025.13194,3,1,2026,3,10,Noche
46025.13889,3,1,2026,3,20,Noche
46025.14583,3,1,2026,3,30,Noche
46025.15278,3,1,2026,3,40,Noche
46025.15972,3,1,2026,3,50,Noche
46025.16667,3,1,2026,4,0,Noche
46025.17361,3,1,2026,4,10,Noche
46025.18056,3,1,2026,4,20,Noche
46025.1875,3,1,2026,4,30,Noche
46025.19444,3,1,2026,4,40,Noche
46025.20139,3,1,2026,4,50,Noche
46025.20833,3,1,2026,5,0,Noche
46025.21528,3,1,2026,5,10,Noche
46025.22222,3,1,2026,5,20,Noche
46025.22917,3,1,2026,5,30,Noche
46025.23611,3,1,2026,5,40,Noche
46025.24306,3,1,2026,5,50,Noche
46025.25,3,1,2026,6,0,Mañana
46025.25694,3,1,2026,6,10,Mañana
46025.26389,3,1,2026,6,20,Mañana
46025.27083,3,1,2026,6,30,Mañana
46025.27778,3,1,2026,6,40,Mañana
46025.28472,3,1,2026,6,50,Mañana
46025.29167,3,1,2026,7,0,Mañana
46025.29861,3,1,2026,7,10,Mañana
46025.30556,3,1,2026,7,20,Mañana
46025.3125,3,1,2026,7,30,Mañana
46025.31944,3,1,2026,7,40,Mañana
46025.32639,3,1,2026,7,50,Mañana
46025.33333,3,1,2026,8,0,Mañana
46025.34028,3,1,2026,8,10,Mañana
46025.34722,3,1,2026,8,20,Mañana
46025.35417,3,1,2026,8,30,Mañana
46025.36111,3,1,2026,8,40,Mañana
46025.36806,3,1,2026,8,50,Mañana
46025.375,3,1,2026,9,0,Mañana
46025.38194,3,1,2026,9,10,Mañana
46025.38889,3,1,2026,9,20,Mañana
46025.39583,3,1,2026,9,30,Mañana
46025.40278,3,1,2026,9,40,Mañana
46025.40972,3,1,2026,9,50,Mañana
46025.41667,3,1,2026,10,0,Mañana
46025.42361,3,1,2026,10,10,Mañana
46025.43056,3,1,2026,10,20,Mañana
46025.4375,3,1,2026,10,30,Mañana
46025.44444,3,1,2026,10,40,Mañana
46025.45139,3,1,2026,10,50,Mañana
46025.45833,3,1,2026,11,0,Mañana
46025.46528,3,1,2026,11,10,Mañana
46025.47222,3,1,2026,11,20,Mañana
46025.47917,3,1,2026,11,30,Mañana
46025.48611,3,1,2026,11,40,Mañana
46025.49306,3,1,2026,11,50,Mañana
46025.5,3,1,2026,12,0,Mañana
46025.50694,3,1,2026,12,10,Mañana
46025.51389,3,1,2026,12,20,Mañana
46025.52083,3,1,2026,12,30,Mañana
46025.52778,3,1,2026,12,40,Mañana
46025.53472,3,1,2026,12,50,Mañana
46025.54167,3,1,2026,13,0,Mañana
46025.54861,3,1,2026,13,10,Mañana
46025.55556,3,1,2026,13,20,Mañana
46025.5625,3,1,2026,13,30,Mañana
46025.56944,3,1,2026,13,40,Mañana
46025.57639,3,1,2026,13,50,Mañana
46025.58333,3,1,2026,14,0,Tarde
46025.59028,3,1,2026,14,10,Tarde
46025.59722,3,1,2026,14,20,Tarde
46025.60417,3,1,2026,14,30,Tarde
46025.61111,3,1,2026,14,40,Tarde
46025.61806,3,1,2026,14,50,Tarde
46025.625,3,1,2026,15,0,Tarde
46025.63194,3,1,2026,15,10,Tarde
46025.63889,3,1,2026,15,20,Tarde
46025.64583,3,1,2026,15,30,Tarde
46025.65278,3,1,2026,15,40,Tarde
46025.65972,3,1,2026,15,50,Tarde
46025.66667,3,1,2026,16,0,Tarde
46025.67361,3,1,2026,16,10,Tarde
46025.68056,3,1,2026,16,20,Tarde
46025.6875,3,1,2026,16,30,Tarde
46025.69444,3,1,2026,16,40,Tarde
46025.70139,3,1,2026,16,50,Tarde
46025.70833,3,1,2026,17,0,Tarde
46025.71528,3,1,2026,17,10,Tarde
46025.72222,3,1,2026,17,20,Tarde
46025.72917,3,1,2026,17,30,Tarde
46025.73611,3,1,2026,17,40,Tarde
46025.74306,3,1,2026,17,50,Tarde
46025.75,3,1,2026,18,0,Tarde
46025.75694,3,1,2026,18,10,Tarde
46025.76389,3,1,2026,18,20,Tarde
46025.77083,3,1,2026,18,30,Tarde
46025.77778,3,1,2026,18,40,Tarde
46025.78472,3,1,2026,18,50,Tarde
46025.79167,3,1,2026,19,0,Tarde
46025.79861,3,1,2026,19,10,Tarde
46025.80556,3,1,2026,19,20,Tarde
46025.8125,3,1,2026,19,30,Tarde
46025.81944,3,1,2026,19,40,Tarde
46025.82639,3,1,2026,19,50,Tarde
46025.83333,3,1,2026,20,0,Tarde
46025.84028,3,1,2026,20,10,Tarde
46025.84722,3,1,2026,20,20,Tarde
46025.85417,3,1,2026,20,30,Tarde
46025.86111,3,1,2026,20,40,Tarde
46025.86806,3,1,2026,20,50,Tarde
46025.875,3,1,2026,21,0,Tarde
46025.88194,3,1,2026,21,10,Tarde
46025.88889,3,1,2026,21,20,Tarde
46025.89583,3,1,2026,21,30,Tarde
46025.90278,3,1,2026,21,40,Tarde
46025.90972,3,1,2026,21,50,Tarde
46025.91667,3,1,2026,22,0,Noche
46025.92361,3,1,2026,22,10,Noche
46025.93056,3,1,2026,22,20,Noche
46025.9375,3,1,2026,22,30,Noche
46025.94444,3,1,2026,22,40,Noche
46025.95139,3,1,2026,22,50,Noche
46025.95833,3,1,2026,23,0,Noche
46025.96528,3,1,2026,23,10,Noche
46025.97222,3,1,2026,23,20,Noche
46025.97917,3,1,2026,23,30,Noche
46025.98611,3,1,2026,23,40,Noche
46025.99306,3,1,2026,23,50,Noche
46026,4,1,2026,0,0,Noche
46026.00694,4,1,2026,0,10,Noche
46026.01389,4,1,2026,0,20,Noche
46026.02083,4,1,2026,0,30,Noche
46026.02778,4,1,2026,0,40,Noche
46026.03472,4,1,2026,0,50,Noche
46026.04167,4,1,2026,1,0,Noche
46026.04861,4,1,2026,1,10,Noche
46026.05556,4,1,2026,1,20,Noche
46026.0625,4,1,2026,1,30,Noche
46026.06944,4,1,2026,1,40,Noche
46026.07639,4,1,2026,1,50,Noche
46026.08333,4,1,2026,2,0,Noche
46026.09028,4,1,2026,2,10,Noche
46026.09722,4,1,2026,2,20,Noche
46026.10417,4,1,2026,2,30,Noche
46026.11111,4,1,2026,2,40,Noche
46026.11806,4,1,2026,2,50,Noche
46026.125,4,1,2026,3,0,Noche
46026.13194,4,1,2026,3,10,Noche
46026.13889,4,1,2026,3,20,Noche
46026.14583,4,1,2026,3,30,Noche
46026.15278,4,1,2026,3,40,Noche
46026.15972,4,1,2026,3,50,Noche
46026.16667,4,1,2026,4,0,Noche
46026.17361,4,1,2026,4,10,Noche
46026.18056,4,1,2026,4,20,Noche
46026.1875,4,1,2026,4,30,Noche
46026.19444,4,1,2026,4,40,Noche
46026.20139,4,1,2026,4,50,Noche
46026.20833,4,1,2026,5,0,Noche
46026.21528,4,1,2026,5,10,Noche
46026.22222,4,1,2026,5,20,Noche
46026.22917,4,1,2026,5,30,Noche
46026.23611,4,1,2026,5,40,Noche
46026.24306,4,1,2026,5,50,Noche
46026.25,4,1,2026,6,0,Mañana
46026.25694,4,1,2026,6,10,Mañana
46026.26389,4,1,2026,6,20,Mañana
46026.27083,4,1,2026,6,30,Mañana
46026.27778,4,1,2026,6,40,Mañana
46026.28472,4,1,2026,6,50,Mañana
46026.29167,4,1,2026,7,0,Mañana
46026.29861,4,1,2026,7,10,Mañana
46026.30556,4,1,2026,7,20,Mañana
46026.3125,4,1,2026,7,30,Mañana
46026.31944,4,1,2026,7,40,Mañana
46026.32639,4,1,2026,7,50,Mañana
46026.33333,4,1,2026,8,0,Mañana
46026.34028,4,1,2026,8,10,Mañana
46026.34722,4,1,2026,8,20,Mañana
46026.35417,4,1,2026,8,30,Mañana
46026.36111,4,1,2026,8,40,Mañana
46026.36806,4,1,2026,8,50,Mañana
46026.375,4,1,2026,9,0,Mañana
46026.38194,4,1,2026,9,10,Mañana
46026.38889,4,1,2026,9,20,Mañana
46026.39583,4,1,2026,9,30,Mañana
46026.40278,4,1,2026,9,40,Mañana
46026.40972,4,1,2026,9,50,Mañana
46026.41667,4,1,2026,10,0,Mañana
46026.42361,4,1,2026,10,10,Mañana
46026.43056,4,1,2026,10,20,Mañana
46026.4375,4,1,2026,10,30,Mañana
46026.44444,4,1,2026,10,40,Mañana
46026.45139,4,1,2026,10,50,Mañana
46026.45833,4,1,2026,11,0,Mañana
46026.46528,4,1,2026,11,10,Mañana
46026.47222,4,1,2026,11,20,Mañana
46026.47917,4,1,2026,11,30,Mañana
46026.48611,4,1,2026,11,40,Mañana
46026.49306,4,1,2026,11,50,Mañana
46026.5,4,1,2026,12,0,Mañana
46026.50694,4,1,2026,12,10,Mañana
46026.51389,4,1,2026,12,20,Mañana
46026.52083,4,1,2026,12,30,Mañana
46026.52778,4,1,2026,12,40,Mañana
46026.53472,4,1,2026,12,50,Mañana
46026.54167,4,1,2026,13,0,Mañana
46026.54861,4,1,2026,13,10,Mañana
46026.55556,4,1,2026,13,20,Mañana
46026.5625,4,1,2026,13,30,Mañana
46026.56944,4,1,2026,13,40,Mañana
46026.57639,4,1,2026,13,50,Mañana
46026.58333,4,1,2026,14,0,Tarde
46026.59028,4,1,2026,14,10,Tarde
46026.59722,4,1,2026,14,20,Tarde
46026.60417,4,1,2026,14,30,Tarde
46026.61111,4,1,2026,14,40,Tarde
46026.61806,4,1,2026,14,50,Tarde
46026.625,4,1,2026,15,0,Tarde
46026.63194,4,1,2026,15,10,Tarde
46026.63889,4,1,2026,15,20,Tarde
46026.64583,4,1,2026,15,30,Tarde
46026.65278,4,1,2026,15,40,Tarde
46026.65972,4,1,2026,15,50,Tarde
46026.66667,4,1,2026,16,0,Tarde
46026.67361,4,1,2026,16,10,Tarde
46026.68056,4,1,2026,16,20,Tarde
46026.6875,4,1,2026,16,30,Tarde
46026.69444,4,1,2026,16,40,Tarde
46026.70139,4,1,2026,16,50,Tarde
46026.70833,4,1,2026,17,0,Tarde
46026.71528,4,1,2026,17,10,Tarde
46026.72222,4,1,2026,17,20,Tarde
46026.72917,4,1,2026,17,30,Tarde
46026.73611,4,1,2026,17,40,Tarde
46026.74306,4,1,2026,17,50,Tarde
46026.75,4,1,2026,18,0,Tarde
46026.75694,4,1,2026,18,10,Tarde
46026.76389,4,1,2026,18,20,Tarde
46026.77083,4,1,2026,18,30,Tarde
46026.77778,4,1,2026,18,40,Tarde
46026.78472,4,1,2026,18,50,Tarde
46026.79167,4,1,2026,19,0,Tarde
46026.79861,4,1,2026,19,10,Tarde
46026.80556,4,1,2026,19,20,Tarde
46026.8125,4,1,2026,19,30,Tarde
46026.81944,4,1,2026,19,40,Tarde
46026.82639,4,1,2026,19,50,Tarde
46026.83333,4,1,2026,20,0,Tarde
46026.84028,4,1,2026,20,10,Tarde
46026.84722,4,1,2026,20,20,Tarde
46026.85417,4,1,2026,20,30,Tarde
46026.86111,4,1,2026,20,40,Tarde
46026.86806,4,1,2026,20,50,Tarde
46026.875,4,1,2026,21,0,Tarde
46026.88194,4,1,2026,21,10,Tarde
46026.88889,4,1,2026,21,20,Tarde
46026.89583,4,1,2026,21,30,Tarde
46026.90278,4,1,2026,21,40,Tarde
46026.90972,4,1,2026,21,50,Tarde
46026.91667,4,1,2026,22,0,Noche
46026.92361,4,1,2026,22,10,Noche
46026.93056,4,1,2026,22,20,Noche
46026.9375,4,1,2026,22,30,Noche
46026.94444,4,1,2026,22,40,Noche
46026.95139,4,1,2026,22,50,Noche
46026.95833,4,1,2026,23,0,Noche
46026.96528,4,1,2026,23,10,Noche
46026.97222,4,1,2026,23,20,Noche
46026.97917,4,1,2026,23,30,Noche
46026.98611,4,1,2026,23,40,Noche
46026.99306,4,1,2026,23,50,Noche
46027,5,1,2026,0,0,Noche
46027.00694,5,1,2026,0,10,Noche
46027.01389,5,1,2026,0,20,Noche
46027.02083,5,1,2026,0,30,Noche
46027.02778,5,1,2026,0,40,Noche
46027.03472,5,1,2026,0,50,Noche
46027.04167,5,1,2026,1,0,Noche
46027.04861,5,1,2026,1,10,Noche
46027.05556,5,1,2026,1,20,Noche
46027.0625,5,1,2026,1,30,Noche
46027.06944,5,1,2026,1,40,Noche
46027.07639,5,1,2026,1,50,Noche
46027.08333,5,1,2026,2,0,Noche
